comment,rating
"15 months ago at 73, I was diagnosed with a PSA of 925 and a Gleason score of 9 left side 7 right side.The disease had spread to my lymphatic system, but not to my bones, liver or kidneys.  I was prescribed Prednisolone/Aberiterone treatment in parallel with standard treatment my PSa has dramatically reduced in a smooth curve and now have a PSA of 0.6 I am told that this is not a cure and am being monitored monthly. I am healthier, with the only side effects being the 'sweats', usually after eating and drinking. I am cycling, walking and gardening a large garden.",5
"After taking zytiga for 3 months I developed dry mouth, lost 22 pounds, increased urination, dry skin,  However, it did lower my PSA but not worth what I am experiencing after being off it four month.  ",5
Have to take it with food since pills are to difficult to swallow they get caught in my throat,5
"Breast cancer that spread first to my brain.  then recurred in my brain and both lung, this is when my doctor treated me with abracene.  I have been in remission for nearly 5 years now. I'm BRCA positive and have had bilateral br ca, so I've had a lot of chemo.  I have periph neuropathy, headaches.  But I'm alive!!!  I have a son with a debate disability and these last 5 years have made a huge impact on his life because I was here to help him.  Joint pain during trtmt, and neuropathy.  Xeloda with radiation to my brain for the brain meta. Thank you Abraxane, I believe you saved my life.",5
"Completed my 10th treatment. 3 weeks on 1 week off. Mild side effects including hair loss, fatigue, metallic taste, constipation week of treatment which I use Merrulax for. Stool softners were not effective. Good nutrition and hydrating is very important. Cancer markers have all decreased and recent PET scan showed significant improvement.",4
I received about 6 months of treatment; mostly 3 Fridays in a row and 1 week off.  I have now started to experience some numbness and pain in my fingertips and toes. A CT scan now shows that lesions in the liver have increased in size and a couple new ones; other areas stable. So I will be switching to eribulin.,4
"Tomorrow I receive my 3rd week of treatment of my second round (3 Fridays in a row, then a week off).  I have had minimal side effects so far; some minor fatigue, hair started to thin out so I got it shaved and got a wig, but there is still hair there!  The steroid that I get right before my IV treatment causes some sleeplessness that night after treatment.  Can't really speak to effectiveness right now as we've not measured the cancer antigen or done a scan since I switched to Abraxane.",3
Moms 2nd round of 3wks Bone pain this dose. No Steroid given d/t mouth sores and skin sores during 1st round. ,3
Just going to start it.,3
I have had 15 abraxane treatments and tolerated them very well. The only side effect was very thin hair. My cancer antigen numbers keep going up on abraxane so my doctor is switching me to another chemo therapy. ,3
"Stage IV IBC/TNEG - Spread in both lungs.  I have had excellent results; thin hair which I shaved. No other side effects at all, but steriods are causing weight gain.  Finishing 3rd round (3 weeks on/1 off). IBC significantly reduced and not visible; reduction to lymph nodes, all 3 breast tumors reduced to 1/4 of size, lung lesions reducing.  Very satisfied with treatment. ",5
"My husband almost had 2 cycles but could not take this. His white blood count went very low and will probably have to stop it.  He is very tired, hair loss, aches in legs and feet and some nausea and stomach cramps.  I thought it would be good but I think he should come off of it.  He will get a scan next week.",3
"Overall, I've had some nausea, extreme fatigue, and numbing in my lips and lower face.  My cancer markers have gone up but I've only been on the drug for 1 month. I'll write another review after a few months. ",4
"I too had mets to the bone and liver, had TAC first time round, definitely a lot easier than before. Three weeks on 1 week off, just finished third week of third month and am having two very much needed weeks off. WCC very low probably due to lack of sleep caused by menopause, haven't wanted to use sleeping pills but think the benefit of sleep is greater than the loss of acid gain. No nausea at all, hair thinning, blood nose third week of each cycle too. Had my first lots of scans after the first weeks of third month and significant tumour reductions, hope to have no more than five months on treatment.",4
"I read all the horror stories about the possible side effects of Abraxane but after 2 months I have expereinced very few. My hair has thinned. I feel some fatigue but getting up and moving around makes it go away. I am doing 3 weeks on and 1 off. the first 2 weeks are pretty easy the third I get some tingling in my fingertips. The most pronounced effects are the day after the infusion I feel as if my hair has been cut and the pieces of cut hair are itching me, strange feeling. My tumor markes dropped 500 points after 2 infusions so it sure seems to be working. Fluids are terribly important drink until you think you can't hold anymore. Just think of it as water goes in chemo comes out. Stool softener never did a thing for me so my med team said to take senna a natural vegetable laxative - worked like a charm.I asked my med team if I would get those bad side effects and they replied that if I didn't after the first two infusions that no I wouldn't. One word of wisdom: don't sit around in a chemo haze make yourself get up and move around and that haze/fatigue will fade away. I'm stage IV with mets to the bones and liver. Abraxane is do able and I am able to enjoy life so much more. Good luck to all and stay positive.",4
"I agree with the other person that said take a stool softener two days before the treatment.It would have been nice if I had read this before embarking on the abraxane journey. The antacids are important the first three days after the treatment. The acid is bad.Now I have that awful rash on my hands and forearms after month three of the treatment.No hair is not a biggie. Been to that style before.Month three kills the taste buds worse than month one and two .besides that, there  is an awful metallic taste to deal with too. Oh yes lets not forget the bloody nose at the most inopportune moments .Tiredness is mild compared to the first round of chemo .It's very tolerable .I still need a scan to determine how much more chemo I need .I'm grateful that there are meds to keep me alive even if they don't allow me to feel my best.Bottom line.... I am still alive.",4
abdominal pain,4
" I am starting my 5th month of treatment{every Friday for 3 weeks then 1 week off).  My CT scan is showing complete reduction in my lympnods and drastic reduction in the size of the tumors in my liver. My worse side-effects are complete hairloss, numbness of fingers, toes and lips/face and fatigue. I also get a rash(like eczema) on my hands and shortness of breath for a week after the 3rd week of treatment. However, I consider these minor due the effectiveness of tumor reductions.",5
"i have experience pain in my bones, ringing in my ears, blisters on my hands and sinus problems, including nose bleeding. My CA125 numbers have come down significantly.",5
"I was diagnosed last June with infiltrating ductal carcinoma, with mets to lymph nodes. The oncologist described his oncology plan for me as, ""more treatments, less toxicity."" I received weekly treatments of abraxane for twelve weeks. I was sick the entire time and in horrible pain.  I ran a fever and showed signs of congestive heart failure. The doctor told me there was nothing wrong with me other than not wanting to finish the chemo.  The effectiveness was great, but I have permanent nerve damage, pain, and neuropathy caused by this drug.  I was never told that could happen. I would have made different choices. ",5
"Bilateral breast cancer with bone met.  Today is 10 months the cancer is dormant.  Bone, CT & PET scans since November are dormant (no lighted areas)",5
Drink lots of tea or water before during and after treatment. Take a pain relief and stool softner two days before treatment. Take an antacid gas relief if needed the 2nd night after treatment if needed.,5
I had stage4 breast cancer with severe bone mets.  After 6 mos of Abraxine my cancer does not show up on any CT/PET scan.  I have been cancer free for 4 mos.,5
I have ovarian cancer. I was allergic to the other taxel meds. I am not allergic to abraxane and it is bringing my ca 125 down. I also have severe neuropathy in my hands and feet but am tolerating it.,5
"I finished my Abraxane treatment a little over 1 year ago. I still have severe numbness and swelling in my hands and legs. I also had substantial vision loss almost immediately after my first treatment. I was in terrible pain during the treatment. I think that the prescribing physician should tell people that it will age you 20 years, on the spot, and you will never be the same. My doctor tried this drug on 2 patients. We both had the same complaints. He said that he will never use it again. It is a HORRIBLE drug.",4
"other taxols did not work for my ovarian cancer, abraxane is bringing  my ca-125 down",5
"Does anyone have any information on how long the side effects last? Or the severity? While I have gotten some relief I'm only up to my 3rd dose, the exhaustion is almost unbearable.  No one seems to be able to give any information on how long or how severe the side effects stay with you.",2
"I have been on this medicine for five years now.  When I first started out on this medication It worked great, as time went by I experience real bad flare ups; shoulder, neck, back , knee and ankle pains. Injection sight bruising, rashâ?¦. When was so bad once you scratch it then you have a mark for life.  Wait canâ??t leave out the bad headaches and fatigue. I am hoping that the company is reading the comments",2
"I've had flare ups with shoulders, neck and back pains. I have noticed that I have more bruising and spots on my body if I have an itch and scratch it, it leaves a mark that doesn't go away. I have been on this medication two years, and ready to get off. ",3
"I've been on this med for five months, and it is working well. I started out taking it every other week for two months. It was mildly working so the doc increased it to every week. I haven't had another flare up, and my stiffness and achiness is much improved. I had tried Enbrel first, but it lowered my immunity so much that I was sick all winter. Then I tried Orencia, but there was no improvement. I'm still on sulfasalazine, prednisone, Tylenol RA and tramadol, but I hope if the biologic continues to work that I can lower or discontinue some of the pills. It's not a miracle drug - I still have pain and stiffness in my shoulders and back, but at least I can get out of bed without crying from the pain and I can use my hands again! Nothing works for everybody, so just make sure you have a good doctor and keep trying!",4
