comment,date,drug,effectiveness,ease of use,satisfaction
"My doctor prescribed me 20mg Citalopram for depression.  After a few weeks, there was some improvement, but I felt the drug helped my anxiety more than the depression.  The dose was increased to 40mg.  Still felt ""lopsided"", in that the anxiety was under control but not the depression.  This drug clouded my judgement, as I said some things and felt like I put my foot in my mouth!  Very embarrassing! I mentioned these things to my doctor.  She said Citalopram is more for anxiety than it is for depression. My doctor switched me to another drug, which is helping alot.",9/5/2019 9:38:46 PM,citalopram oral,2.0,2.0,1.0
"This medication has made a world of difference in my life!  I was always so anxious and suffered from depression, but feel like I can handle life much better now.  I initially started with 10 mg and moved up to 20 mg which is perfect for me.  Highly recommend!",8/14/2019 11:27:34 PM,citalopram oral,5.0,5.0,5.0
"No Script or health Insurance needed to place and order with 10% discount for all purchased. It was nice to have some from them, I just hit them at. WhatsApp only: +1(252)4601212, Wickr or Kik: peterking2014. Email: [email protected] Message code: (Med16) Discreet Delivery",7/29/2019 9:33:32 AM,citalopram oral,5.0,5.0,5.0
"I have been using this fr about 10 years and found it really good. Was recently taken off by my GP, because of another issue not related to the medication, but requested to go back on it this week. ",7/20/2019 3:38:23 AM,citalopram oral,5.0,5.0,5.0
"Depression is so hard to deal with because first you have to be get out of the funk enough to realize you need help. I felt better in about a week, so much so that I thought it was just me, and the placebo effect. I went on to look at reviews, and realized it happened that way for a lot of people. I recommend it, the side effects for me are nothing compared to the doom I used to grapple with. I am so grateful to be able to feel relief finally. ",3/17/2019 1:11:13 AM,citalopram oral,4.0,4.0,4.0
It changed my ?? in about a week!,2/24/2019 1:28:42 PM,citalopram oral,5.0,5.0,5.0
I went through a difficult divorce and because very anxious and depressed. This medication helped me tremendously and made me feel like my old self again. I would recommend it to anyone that is feeling anxious or depressed. It also helped me lose 15 pounds! ,2/18/2019 11:01:25 AM,citalopram oral,5.0,5.0,5.0
"Text me at or contact +1(501)519-0838
Email: [email protected]

MARIJUANA STRAINS
Strain List………

OG Kush……….Grade A+
Sour Diesel……….Grade A+
Jack Herer……..Grade A+
Alaskan **********……Grade A+
Blue Dream………Grade A+
Alaskan ***********….Grade A+
Blue Berry Yum Yum….Grade A+
Girl Scout Cookies….Grade A+
AK47……..Grade A+
Gas……Grade A+
Sweet Island Skunk……Grade A+
White Widow……….Grade A+
Bonana……….Grade A+
Ivory……….Grade A+
Sweet Girl……….Grade A+
Limp Dick……….Grade A+
Mary Jane……….Grade A+

Text me at or contact +1(501)519-0838
Email: [email protected]

RESEARCH CHEM
U-47700
5F-PCN/5-F-MN-21/5-fluoro MN-21
MED/5-methylethylone
BK-EBDP Crystal
2-NMC Crystal
2-NMC Powder
4-CPRC Powder

Text me at or contact +1(501)519-0838
Email: [email protected]",1/31/2019 5:04:06 PM,citalopram oral,4.0,3.0,4.0
Been taking this for yeas now. Works well and I didn't have the side effects I did with a lot of others I've tried.,1/22/2019 2:27:49 PM,citalopram oral,4.0,4.0,5.0
"I have been on several medications over the years. They have all just masked my symptoms, not actually treated them. But this one actually does what I expect it to do.",12/16/2018 10:11:50 PM,citalopram oral,5.0,5.0,5.0
