comment,rating
"I have been taking Acarbose only for a few weeks. But at this point it has lower my blood sugar (BS) significantly. Pre-Acarbose, I was getting BS ranging from 130 to 200. Now I am ranging from 90 to 120 - as measured before each meal. I take 100mg just before eating, 3 times a day (max recommended dose). The only side effect is significant gas - more noise than oder. I am trying to deal with this because the positive BS effect is great. I also take Glipicide,and Tradjenta; but those alone have had very little positive effect. I well report back after a few months of continued use.  ",4
"Really bad side effects... leg cramps, nauseau, ice headache, swelling in back of eye.  Not sure I can last weeks on this.  When I don't take it no side effects... 1 pill causes such nasty effects feel like chemotherapy toxin in your system",5
"I have been taking this for almost 2 years, and for the first time in 14 years my A1c is below 7.  I have very little gas.  But it blocks the absorption of calcium, and causes unbearable muscle cramps the last few months.  If I skip  day, my cramps go away almost completely.  It could be a reaction to Levaquin too, so I will try it again in a couple of weeks.  Levequin caused severe tendonitis.  I also take 3,000 mg of calcium and 10,000 units of vitamin D3. I used to have severe cramps for years before starting Acarbose, then felt better on it, then started the calcium and felt better for a year.  It is hard to get this all straightened our.  Hope to start on active vitaminD3, Calcitriol to see if I can absorb calcium better.",5
"after a uti i was given insulin to control my blood sugar,after treatment of uti to return back to oral hypoglycemics for me was difficult.Acarbose made it easy and now i am having a HbA1c of 6-6.5.",5
I think it makes my mouth extremely dry at night.,1
The gas and possibly weight gain Acarbose causes are my only negatives.  I am happy to trade gas for lack of constipation and help with hypoglycemia.,5
Gas gas gas   Cramps spasms and chronic diarrhea  Feel so frustrated.  Swapping one evil for another ,4
I like many have bad gas and some abdominal pain. I find it lowers my sugar a lot. I take less insulin now. It has also caused some weight loss which I need the most.,4
I don't have to worry that my sugar level will take a dive after I eat anymore.  My glucose used to go from 186 after meal and drop to 54 within 1-1.5 hrs. later.,5
Given acarbose for hypoglycemia.  A lot of gas produced.  Taking 25-50 mg per meal.  Does not keep blood sugar from falling very well.,3
I have gas and stomach cramps.,3
"I have not used this drug.  Just looking it up.  Published this week in Dr. Gott's column in local newspaper, patient reports using it for fatigue.  (no mention of diabetes)  I do not have diabetes, but do have post polio fatigue.",3
I could power a small city with the gas I produce.  Gas-X doesn't make a dent in the gas production.  I stopped taking it days before a significant event and the gas production went away.  I have discontinued taking Acarbose until I see my endocrinologist next month.  I need an alternative to Acarbose.  I discontinued Actos because of the fluid retention.  At least fluid retention does not produce gas.,3
Every time i take it I get acid indigestion!!!!!,1
