comment,rating
This medication caused swelling in my legs and very hard to find at the pharmacy. I have to order it in advance,3
causes headache and dizziness ,2
My blood pressure is good but I have very dry eyes to the point that by the end of the day they are burning....and the first week or 2 severe stomach pains but that has subsided.,4
This medication has helped stabilize my pressure but i noticed muscle soreness in my legs and sort of heart throbbing to where it seems as though the the ground or surface is shaking below me,4
"I have mild to moderate hypertension untreated. I don't have any kidney disease or diabetes.  Tried Diovan, Exforge, Cardura, HCTZ which did not work well.. Valturna has been great BP 110/70 with no side effects. ",5
high potassium chestpains leaking protien in kidnies,1
"I would just like to know why when I try to get the info on this drug from this site  such as side affects ect. nothing comes up seems to be that most of my meds. I have tried to research are doing the same thing. They don't give me info on this site. I'm taking furosemide 40 mg. for water retention, spironolactone 25 mg. for water retention,bisoprolol 5mg. to slow heart rate and lower blood pressure and aliskiren 300 mg. for  high blood pressure. Had to stop spironolactone due to rectal bleeding and stomach pain. I am asthmatic and am really having hard time breathing after I take bisoprolol. I am going to slowly get off this drug, as I have found out that asthmatics should not be taking it. The doctor that prescribed this drug knows I am an asthmatic. Now I'm being sent to a asthma doctor as my asthma is out of control. So they will probably add some more drug and then more side affects and the cycle continues. My blood pressure has dropped to a normal level and the water pills are draining the excess fluid away, but I am so fatigued I can hardly walk around my home let alone exercise or even have a sense of feeling well. I am so tired all the time and fall asleep sitting up. My Cardiologist said I will feel this way for at least  six months until my body adjusts to these pills. I just don't think one should feel so unwell from medications that are suppose to make you well. I felt better before I started taking these medications even though my blood pressure was extremely high and I looked like a swollen marsh-mellow.",3
My cardiologist gave me samples of this med- ication before my local pharmacy stocked. I have noticed no side effects. I take it with my a.m. meds.,5
"constipation, swelling, cramping in feet, legs,UTI, hair loss, stomach pain",3
veeeeeeeeeeeeeeeeeeeeeeeeerrrrrrrrrrrrrrrrrrrrrrr rrrrrrrrrrrrrrryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy yyyyyyy   badddddddddddddddddddddddddddddddddd dddddddddddddddddddddddddddd,1
